Accuracy,AUC,F1 Score,Scenario
0.7066666666666667,0.7241269841269842,0.8070175438596491,Clean Data
0.6666666666666666,0.6099470899470899,0.7727272727272727,Clean Data
0.7,0.6694179894179894,0.7982062780269058,Clean Data
0.7,0.706031746031746,0.7963800904977375,LabelFlipping_IsolationForest
0.66,0.6243386243386243,0.7649769585253456,LabelFlipping_IsolationForest
