,Accuracy,AUC,F1 Score
RandomForest_Poisoned,0.72,0.6806349206349207,0.8055555555555556
XGBoost_Poisoned,0.68,0.6571428571428571,0.7798165137614679
VotingClassifier_Poisoned,0.7,0.6785185185185184,0.7982062780269058
