,Accuracy,AUC,F1 Score
RandomForest_Poisoned,0.7,0.6447619047619048,0.7982062780269058
XGBoost_Poisoned,0.6533333333333333,0.6353439153439152,0.7592592592592593
VotingClassifier_Poisoned,0.66,0.6433862433862434,0.7649769585253456
